,x,y,z
114674,42.0,1246.0,-26.475429408275016
114702,70.0,1246.0,-22.899386557864737
117222,14.0,1274.0,-26.78040888010056
117250,42.0,1274.0,-24.113214398713136
117278,70.0,1274.0,-24.035344349290586
119798,14.0,1302.0,-25.57640104147676
119826,42.0,1302.0,-25.50524880425376
119854,70.0,1302.0,-24.335061480274327
122374,14.0,1330.0,-22.370592247750487
122402,42.0,1330.0,-24.283103103200233
122430,70.0,1330.0,-23.17538676961187
124950,14.0,1358.0,-22.673597511981647
124978,42.0,1358.0,-24.209602587209282
125006,70.0,1358.0,-23.761200066866497
127526,14.0,1386.0,-24.454317178953964
127554,42.0,1386.0,-27.28902549448303
127582,70.0,1386.0,-23.2958116239243
130102,14.0,1414.0,-29.62081627816894
130130,42.0,1414.0,-25.48894048312665
130158,70.0,1414.0,-25.35921909352402
132678,14.0,1442.0,-28.996683609010187
132706,42.0,1442.0,-27.408571538884814
132734,70.0,1442.0,-26.307931586622374
135254,14.0,1470.0,-28.728129410777573
135282,42.0,1470.0,-26.99779220100423
135310,70.0,1470.0,-26.854763645929374
137830,14.0,1498.0,-26.907500113985027
137858,42.0,1498.0,-25.927309942218592
137886,70.0,1498.0,-28.07036929563491
140406,14.0,1526.0,-26.10360844627175
140434,42.0,1526.0,-29.310938472026614
140462,70.0,1526.0,-26.819674788911005
142982,14.0,1554.0,-27.12791104851412
143010,42.0,1554.0,-31.857982104134393
143038,70.0,1554.0,-28.787143357420927
145558,14.0,1582.0,-26.66497297927307
145586,42.0,1582.0,-29.288259392048115
145614,70.0,1582.0,-29.75260955970428
148134,14.0,1610.0,-28.19808318127571
148162,42.0,1610.0,-31.198913691905886
148190,70.0,1610.0,-32.35366024958354
150710,14.0,1638.0,-33.32755392268218
150738,42.0,1638.0,-34.78262830368776
150766,70.0,1638.0,-32.58279034697663
153286,14.0,1666.0,-37.23733186964482
153314,42.0,1666.0,-28.30382304022098
153342,70.0,1666.0,-30.378533922546183
155862,14.0,1694.0,-30.417349797893362
155890,42.0,1694.0,-27.45132035453561
155918,70.0,1694.0,-31.448319442740555
158438,14.0,1722.0,-31.850870584559022
158466,42.0,1722.0,-31.993191711648798
158494,70.0,1722.0,-36.72560381488661
161014,14.0,1750.0,-32.49245197106839
161042,42.0,1750.0,-31.487213189670268
161070,70.0,1750.0,-37.21488396813887
163590,14.0,1778.0,-33.601590456465466
163618,42.0,1778.0,-32.37098150175303
163646,70.0,1778.0,-37.21626444947399
166166,14.0,1806.0,-35.84974643254219
166194,42.0,1806.0,-33.61687931576217
166222,70.0,1806.0,-32.958089225467084
168742,14.0,1834.0,-37.81614766725043
168770,42.0,1834.0,-34.60760693447232
168798,70.0,1834.0,-30.028564727611144
171318,14.0,1862.0,-35.36963053127431
171346,42.0,1862.0,-33.45211499464891
171374,70.0,1862.0,-29.626852757253992
173894,14.0,1890.0,-31.71739924714182
173922,42.0,1890.0,-31.68042014875346
173950,70.0,1890.0,-30.33628285940233
176470,14.0,1918.0,-30.17522667347342
176498,42.0,1918.0,-31.28309199020091
176526,70.0,1918.0,-30.751936419368622
179046,14.0,1946.0,-30.874452132767182
179074,42.0,1946.0,-32.625773032743176
179102,70.0,1946.0,-31.505301409034193
181622,14.0,1974.0,-32.498139859474016
181650,42.0,1974.0,-35.93536011330033
181678,70.0,1974.0,-32.378906884472435
184198,14.0,2002.0,-31.197390820667174
184226,42.0,2002.0,-39.40598621937398
184254,70.0,2002.0,-32.47128268181824
